customer_id,customer_name,region
C00113,Customer 113,North
C00114,Customer 114,East
C00115,Customer 115,South
C00116,Customer 116,North
C00117,Customer 117,East
C00118,Customer 118,South
C00119,Customer 119,South
C00120,Customer 120,East
C00121,Customer 121,South
C00122,Customer 122,North
C00123,Customer 123,East
C00124,Customer 124,West
C00125,Customer 125,North
C00126,Customer 126,North
C00127,Customer 127,East
C00128,Customer 128,East
C00129,Customer 129,South
C00130,Customer 130,North
C00131,Customer 131,South
C00132,Customer 132,North
C00133,Customer 133,North
C00134,Customer 134,West
C00135,Customer 135,North
C00136,Customer 136,South
C00137,Customer 137,South
C00138,Customer 138,West
C00139,Customer 139,South
C00140,Customer 140,East
C00141,Customer 141,West
C00142,Customer 142,South
C00143,Customer 143,South
C00144,Customer 144,East
C00145,Customer 145,West
C00146,Customer 146,East
C00147,Customer 147,West
C00148,Customer 148,West
C00149,Customer 149,North
C00150,Customer 150,South
C00151,Customer 151,South
C00152,Customer 152,North
C00153,Customer 153,East
C00154,Customer 154,North
C00155,Customer 155,South
C00156,Customer 156,South
C00157,Customer 157,North
C00158,Customer 158,North
C00159,Customer 159,North
C00160,Customer 160,South
C00161,Customer 161,North
C00162,Customer 162,North
C00163,Customer 163,East
C00164,Customer 164,North
C00165,Customer 165,South
C00166,Customer 166,East
C00167,Customer 167,West
C00168,Customer 168,South
C00169,Customer 169,South
C00170,Customer 170,West
C00171,Customer 171,South
C00172,Customer 172,West
C00173,Customer 173,West
C00174,Customer 174,South
C00175,Customer 175,North
C00176,Customer 176,North
C00177,Customer 177,West
C00178,Customer 178,East
C00179,Customer 179,West
C00180,Customer 180,West
C00181,Customer 181,West
C00182,Customer 182,North
C00183,Customer 183,North
C00184,Customer 184,North
C00185,Customer 185,West
C00186,Customer 186,East
C00187,Customer 187,North
C00188,Customer 188,South
C00189,Customer 189,South
C00190,Customer 190,South
C00191,Customer 191,West
C00192,Customer 192,South
C00193,Customer 193,West
C00194,Customer 194,South
C00195,Customer 195,East
C00196,Customer 196,West
C00197,Customer 197,South
C00198,Customer 198,North
C00199,Customer 199,West
C00200,Customer 200,North
C00201,Customer 201,North
C00202,Customer 202,North
C00203,Customer 203,North
C00204,Customer 204,South
C00205,Customer 205,South
C00206,Customer 206,West
C00207,Customer 207,West
C00208,Customer 208,West
C00209,Customer 209,South
C00210,Customer 210,West
C00211,Customer 211,North
C00212,Customer 212,South
C00213,Customer 213,West
C00214,Customer 214,North
C00215,Customer 215,West
C00216,Customer 216,East
C00217,Customer 217,West
C00218,Customer 218,East
C00219,Customer 219,West
C00220,Customer 220,West
C00221,Customer 221,South
C00222,Customer 222,South
C00223,Customer 223,East
C00224,Customer 224,South
C00225,Customer 225,North
C00226,Customer 226,North
C00227,Customer 227,East
C00228,Customer 228,North
C00229,Customer 229,North
C00230,Customer 230,West
C00231,Customer 231,South
C00232,Customer 232,North
C00233,Customer 233,North
C00234,Customer 234,South
C00235,Customer 235,North
C00236,Customer 236,North
C00237,Customer 237,South
C00238,Customer 238,West
C00239,Customer 239,North
C00240,Customer 240,South
C00241,Customer 241,North
C00242,Customer 242,North
C00243,Customer 243,West
C00244,Customer 244,East
C00245,Customer 245,East
C00246,Customer 246,South
C00247,Customer 247,East
C00248,Customer 248,South
C00249,Customer 249,East
C00250,Customer 250,West
C00251,Customer 251,South
C00252,Customer 252,East
C00253,Customer 253,West
C00254,Customer 254,East
C00255,Customer 255,North
C00256,Customer 256,North
C00257,Customer 257,West
C00258,Customer 258,North
C00259,Customer 259,North
C00260,Customer 260,South
C00261,Customer 261,East
C00262,Customer 262,South
C00263,Customer 263,East
C00264,Customer 264,North
C00265,Customer 265,South
C00266,Customer 266,East
C00267,Customer 267,East
C00268,Customer 268,South
C00269,Customer 269,West
C00270,Customer 270,East
C00271,Customer 271,North
C00272,Customer 272,East
C00273,Customer 273,North
C00274,Customer 274,South
C00275,Customer 275,East
C00276,Customer 276,North
C00277,Customer 277,North
C00278,Customer 278,South
C00279,Customer 279,East
C00280,Customer 280,East
C00281,Customer 281,South
C00282,Customer 282,East
C00283,Customer 283,South
C00284,Customer 284,East
C00285,Customer 285,West
C00286,Customer 286,East
C00287,Customer 287,North
C00288,Customer 288,North
C00289,Customer 289,West
C00290,Customer 290,East
C00291,Customer 291,North
C00292,Customer 292,North
C00293,Customer 293,East
C00294,Customer 294,South
C00295,Customer 295,East
C00296,Customer 296,South
C00297,Customer 297,West
C00298,Customer 298,West
C00299,Customer 299,North
C00300,Customer 300,North
C00301,Customer 301,North
C00302,Customer 302,South
C00303,Customer 303,North
C00304,Customer 304,East
C00305,Customer 305,South
C00306,Customer 306,West
C00307,Customer 307,South
C00308,Customer 308,North
C00309,Customer 309,East
C00310,Customer 310,East
C00311,Customer 311,North
C00312,Customer 312,East
C00313,Customer 313,South
C00314,Customer 314,South
C00315,Customer 315,North
C00316,Customer 316,East
C00317,Customer 317,West
C00318,Customer 318,South
C00319,Customer 319,South
C00320,Customer 320,South
C00321,Customer 321,South
C00322,Customer 322,West
C00323,Customer 323,North
C00324,Customer 324,South
C00325,Customer 325,East
C00326,Customer 326,West
C00327,Customer 327,South
C00328,Customer 328,East
C00329,Customer 329,South
C00330,Customer 330,North
C00331,Customer 331,West
C00332,Customer 332,North
C00333,Customer 333,West
C00334,Customer 334,South
C00335,Customer 335,South
C00336,Customer 336,West
C00337,Customer 337,East
C00338,Customer 338,East
C00339,Customer 339,South
C00340,Customer 340,South
C00341,Customer 341,North
C00342,Customer 342,South
C00343,Customer 343,West
C00344,Customer 344,East
C00345,Customer 345,East
C00346,Customer 346,North
C00347,Customer 347,East
C00348,Customer 348,East
C00349,Customer 349,West
C00350,Customer 350,East
C00351,Customer 351,North
C00352,Customer 352,North
C00353,Customer 353,East
C00354,Customer 354,South
C00355,Customer 355,East
C00356,Customer 356,North
C00357,Customer 357,North
C00358,Customer 358,West
C00359,Customer 359,East
C00360,Customer 360,East
C00361,Customer 361,West
C00362,Customer 362,North
C00363,Customer 363,West
C00364,Customer 364,South
C00365,Customer 365,East
C00366,Customer 366,North
C00367,Customer 367,West
C00368,Customer 368,North
C00369,Customer 369,South
C00370,Customer 370,East
C00371,Customer 371,West
C00372,Customer 372,North
C00373,Customer 373,East
C00374,Customer 374,East
C00375,Customer 375,North
C00376,Customer 376,East
C00377,Customer 377,East
C00378,Customer 378,West
C00379,Customer 379,East
C00380,Customer 380,West
C00381,Customer 381,East
C00382,Customer 382,South
C00383,Customer 383,South
C00384,Customer 384,West
C00385,Customer 385,West
C00386,Customer 386,South
C00387,Customer 387,East
C00388,Customer 388,West
C00389,Customer 389,North
C00390,Customer 390,East
C00391,Customer 391,East
C00392,Customer 392,South
C00393,Customer 393,West
C00394,Customer 394,East
C00395,Customer 395,West
C00396,Customer 396,West
C00397,Customer 397,West
C00398,Customer 398,South
C00399,Customer 399,West
C00400,Customer 400,South
C00401,Customer 401,North
C00402,Customer 402,East
C00403,Customer 403,East
C00404,Customer 404,North
C00405,Customer 405,South
C00406,Customer 406,East
C00407,Customer 407,South
C00408,Customer 408,South
C00409,Customer 409,South
C00410,Customer 410,North
C00411,Customer 411,North
C00412,Customer 412,South
C00413,Customer 413,West
C00414,Customer 414,North
C00415,Customer 415,West
C00416,Customer 416,West
C00417,Customer 417,South
C00418,Customer 418,West
C00419,Customer 419,West
C00420,Customer 420,West
C00421,Customer 421,South
C00422,Customer 422,South
C00423,Customer 423,North
C00424,Customer 424,North
C00425,Customer 425,West
C00426,Customer 426,South
C00427,Customer 427,South
C00428,Customer 428,West
C00429,Customer 429,North
C00430,Customer 430,South
C00431,Customer 431,North
C00432,Customer 432,West
C00433,Customer 433,South
C00434,Customer 434,West
C00435,Customer 435,East
C00436,Customer 436,West
C00437,Customer 437,West
C00438,Customer 438,West
C00439,Customer 439,South
C00440,Customer 440,West
C00441,Customer 441,West
C00442,Customer 442,East
C00443,Customer 443,South
C00444,Customer 444,East
C00445,Customer 445,West
C00446,Customer 446,South
C00447,Customer 447,East
C00448,Customer 448,West
C00449,Customer 449,North
C00450,Customer 450,East
C00451,Customer 451,South
C00452,Customer 452,East
C00453,Customer 453,East
C00454,Customer 454,East
C00455,Customer 455,North
C00456,Customer 456,South
C00457,Customer 457,South
C00458,Customer 458,South
C00459,Customer 459,West
C00460,Customer 460,South
C00461,Customer 461,South
C00462,Customer 462,North
C00463,Customer 463,West
C00464,Customer 464,West
C00465,Customer 465,East
C00466,Customer 466,West
C00467,Customer 467,West
C00468,Customer 468,North
C00469,Customer 469,South
C00470,Customer 470,West
C00471,Customer 471,West
C00472,Customer 472,North
C00473,Customer 473,West
C00474,Customer 474,West
C00475,Customer 475,North
C00476,Customer 476,East
C00477,Customer 477,East
C00478,Customer 478,West
C00479,Customer 479,West
C00480,Customer 480,South
C00481,Customer 481,West
C00482,Customer 482,South
C00483,Customer 483,East
C00484,Customer 484,West
C00485,Customer 485,West
C00486,Customer 486,North
C00487,Customer 487,West
C00488,Customer 488,East
C00489,Customer 489,West
C00490,Customer 490,South
C00491,Customer 491,West
C00492,Customer 492,South
C00493,Customer 493,North
C00494,Customer 494,West
C00495,Customer 495,North
C00496,Customer 496,North
C00497,Customer 497,West
C00498,Customer 498,South
C00499,Customer 499,West
C00500,Customer 500,South
C00501,Customer 501,North
C00502,Customer 502,East
C00503,Customer 503,West
C00504,Customer 504,East
C00505,Customer 505,South
C00506,Customer 506,West
C00507,Customer 507,East
C00508,Customer 508,East
C00509,Customer 509,West
C00510,Customer 510,East
C00511,Customer 511,West
C00512,Customer 512,East
C00513,Customer 513,North
C00514,Customer 514,West
C00515,Customer 515,North
C00516,Customer 516,North
C00517,Customer 517,East
C00518,Customer 518,South
C00519,Customer 519,North
C00520,Customer 520,North
C00521,Customer 521,North
C00522,Customer 522,South
C00523,Customer 523,South
C00524,Customer 524,North
C00525,Customer 525,South
C00526,Customer 526,South
C00527,Customer 527,South
C00528,Customer 528,West
C00529,Customer 529,North
C00530,Customer 530,South
C00531,Customer 531,West
C00532,Customer 532,East
C00533,Customer 533,East
C00534,Customer 534,South
C00535,Customer 535,North
C00536,Customer 536,South
C00537,Customer 537,East
C00538,Customer 538,North
C00539,Customer 539,North
C00540,Customer 540,East
C00541,Customer 541,West
C00542,Customer 542,West
C00543,Customer 543,South
C00544,Customer 544,North
C00545,Customer 545,South
C00546,Customer 546,North
C00547,Customer 547,East
C00548,Customer 548,North
C00549,Customer 549,North
C00550,Customer 550,East
C00551,Customer 551,West
C00552,Customer 552,East
C00553,Customer 553,North
C00554,Customer 554,East
C00555,Customer 555,North
C00556,Customer 556,West
C00557,Customer 557,West
C00558,Customer 558,North
C00559,Customer 559,West
C00560,Customer 560,East
C00561,Customer 561,West
C00562,Customer 562,South
C00563,Customer 563,West
C00564,Customer 564,South
C00565,Customer 565,East
C00566,Customer 566,West
C00567,Customer 567,West
C00568,Customer 568,West
C00569,Customer 569,East
C00570,Customer 570,East
C00571,Customer 571,South
C00572,Customer 572,North
C00573,Customer 573,East
C00574,Customer 574,West
C00575,Customer 575,South
C00576,Customer 576,West
C00577,Customer 577,West
C00578,Customer 578,East
C00579,Customer 579,North
C00580,Customer 580,West
C00581,Customer 581,East
C00582,Customer 582,South
C00583,Customer 583,West
C00584,Customer 584,South
C00585,Customer 585,East
C00586,Customer 586,East
C00587,Customer 587,East
C00588,Customer 588,East
C00589,Customer 589,East
C00590,Customer 590,North
C00591,Customer 591,South
C00592,Customer 592,North
C00593,Customer 593,South
C00594,Customer 594,West
C00595,Customer 595,West
C00596,Customer 596,South
C00597,Customer 597,West
C00598,Customer 598,West
C00599,Customer 599,West
C00600,Customer 600,North
C00601,Customer 601,North
C00602,Customer 602,East
C00603,Customer 603,South
C00604,Customer 604,West
C00605,Customer 605,South
C00606,Customer 606,East
C00607,Customer 607,East
C00608,Customer 608,West
C00609,Customer 609,East
C00610,Customer 610,West
C00611,Customer 611,East
C00612,Customer 612,East
C00613,Customer 613,West
C00614,Customer 614,East
C00615,Customer 615,East
C00616,Customer 616,East
C00617,Customer 617,South
C00618,Customer 618,North
C00619,Customer 619,South
C00620,Customer 620,East
C00621,Customer 621,North
C00622,Customer 622,South
C00623,Customer 623,South
C00624,Customer 624,South
C00625,Customer 625,West
C00626,Customer 626,East
C00627,Customer 627,East
C00628,Customer 628,North
C00629,Customer 629,South
C00630,Customer 630,East
C00631,Customer 631,South
C00632,Customer 632,East
C00633,Customer 633,South
C00634,Customer 634,East
C00635,Customer 635,North
C00636,Customer 636,South
C00637,Customer 637,East
C00638,Customer 638,North
C00639,Customer 639,North
C00640,Customer 640,East
C00641,Customer 641,South
C00642,Customer 642,West
C00643,Customer 643,North
C00644,Customer 644,North
C00645,Customer 645,East
C00646,Customer 646,West
C00647,Customer 647,West
C00648,Customer 648,West
C00649,Customer 649,East
C00650,Customer 650,South
C00651,Customer 651,North
C00652,Customer 652,East
C00653,Customer 653,West
C00654,Customer 654,North
C00655,Customer 655,North
C00656,Customer 656,West
C00657,Customer 657,West
C00658,Customer 658,North
C00659,Customer 659,North
C00660,Customer 660,South
C00661,Customer 661,South
C00662,Customer 662,East
C00663,Customer 663,North
C00664,Customer 664,South
C00665,Customer 665,North
C00666,Customer 666,West
C00667,Customer 667,South
C00668,Customer 668,West
C00669,Customer 669,West
C00670,Customer 670,West
C00671,Customer 671,East
C00672,Customer 672,West
C00673,Customer 673,East
C00674,Customer 674,North
C00675,Customer 675,North
C00676,Customer 676,South
C00677,Customer 677,South
C00678,Customer 678,East
C00679,Customer 679,North
C00680,Customer 680,South
C00681,Customer 681,South
C00682,Customer 682,South
C00683,Customer 683,North
C00684,Customer 684,South
C00685,Customer 685,North
C00686,Customer 686,West
C00687,Customer 687,West
C00688,Customer 688,West
C00689,Customer 689,East
C00690,Customer 690,North
C00691,Customer 691,South
C00692,Customer 692,East
C00693,Customer 693,East
C00694,Customer 694,West
C00695,Customer 695,North
C00696,Customer 696,South
C00697,Customer 697,East
C00698,Customer 698,South
C00699,Customer 699,West
C00700,Customer 700,North
C00701,Customer 701,South
C00702,Customer 702,South
C00703,Customer 703,East
C00704,Customer 704,South
C00705,Customer 705,North
C00706,Customer 706,North
C00707,Customer 707,South
C00708,Customer 708,East
C00709,Customer 709,East
C00710,Customer 710,West
C00711,Customer 711,North
C00712,Customer 712,West
C00713,Customer 713,East
C00714,Customer 714,West
C00715,Customer 715,East
C00716,Customer 716,West
C00717,Customer 717,West
C00718,Customer 718,North
C00719,Customer 719,North
C00720,Customer 720,West
C00721,Customer 721,East
C00722,Customer 722,East
C00723,Customer 723,North
C00724,Customer 724,North
C00725,Customer 725,South
C00726,Customer 726,North
C00727,Customer 727,East
C00728,Customer 728,North
C00729,Customer 729,South
C00730,Customer 730,West
C00731,Customer 731,West
C00732,Customer 732,East
C00733,Customer 733,South
C00734,Customer 734,West
C00735,Customer 735,West
C00736,Customer 736,North
C00737,Customer 737,West
C00738,Customer 738,East
C00739,Customer 739,West
C00740,Customer 740,East
C00741,Customer 741,East
C00742,Customer 742,North
C00743,Customer 743,South
C00744,Customer 744,East
C00745,Customer 745,West
C00746,Customer 746,West
C00747,Customer 747,East
C00748,Customer 748,West
C00749,Customer 749,North
C00750,Customer 750,West
C00751,Customer 751,North
C00752,Customer 752,East
C00753,Customer 753,East
C00754,Customer 754,East
C00755,Customer 755,North
C00756,Customer 756,West
C00757,Customer 757,North
C00758,Customer 758,West
C00759,Customer 759,West
C00760,Customer 760,North
C00761,Customer 761,South
C00762,Customer 762,East
C00763,Customer 763,West
C00764,Customer 764,West
C00765,Customer 765,North
C00766,Customer 766,South
C00767,Customer 767,East
C00768,Customer 768,South
C00769,Customer 769,East
C00770,Customer 770,West
C00771,Customer 771,West
C00772,Customer 772,North
C00773,Customer 773,North
C00774,Customer 774,South
C00775,Customer 775,South
C00776,Customer 776,East
C00777,Customer 777,North
C00778,Customer 778,West
C00779,Customer 779,North
C00780,Customer 780,South
C00781,Customer 781,North
C00782,Customer 782,West
C00783,Customer 783,North
C00784,Customer 784,South
C00785,Customer 785,West
C00786,Customer 786,East
C00787,Customer 787,East
C00788,Customer 788,West
C00789,Customer 789,West
C00790,Customer 790,West
C00791,Customer 791,South
C00792,Customer 792,West
C00793,Customer 793,South
C00794,Customer 794,West
C00795,Customer 795,South
C00796,Customer 796,South
C00797,Customer 797,North
C00798,Customer 798,East
C00799,Customer 799,West
C00800,Customer 800,East
C00801,Customer 801,East
C00802,Customer 802,North
C00803,Customer 803,East
C00804,Customer 804,East
C00805,Customer 805,West
C00806,Customer 806,South
C00807,Customer 807,West
C00808,Customer 808,West
C00809,Customer 809,East
C00810,Customer 810,East
C00811,Customer 811,West
C00812,Customer 812,West
C00813,Customer 813,East
C00814,Customer 814,South
C00815,Customer 815,South
C00816,Customer 816,West
C00817,Customer 817,South
C00818,Customer 818,West
C00819,Customer 819,North
C00820,Customer 820,East
C00821,Customer 821,West
C00822,Customer 822,West
C00823,Customer 823,West
C00824,Customer 824,South
C00825,Customer 825,West
C00826,Customer 826,North
C00827,Customer 827,South
C00828,Customer 828,East
C00829,Customer 829,North
C00830,Customer 830,West
C00831,Customer 831,North
C00832,Customer 832,West
C00833,Customer 833,North
C00834,Customer 834,South
C00835,Customer 835,West
C00836,Customer 836,South
C00837,Customer 837,North
C00838,Customer 838,West
C00839,Customer 839,East
C00840,Customer 840,East
C00841,Customer 841,West
C00842,Customer 842,North
C00843,Customer 843,East
C00844,Customer 844,West
C00845,Customer 845,East
C00846,Customer 846,West
C00847,Customer 847,North
C00848,Customer 848,North
C00849,Customer 849,South
C00850,Customer 850,East
C00851,Customer 851,South
C00852,Customer 852,North
C00853,Customer 853,West
C00854,Customer 854,North
C00855,Customer 855,North
C00856,Customer 856,West
C00857,Customer 857,South
C00858,Customer 858,East
C00859,Customer 859,North
C00860,Customer 860,North
C00861,Customer 861,East
C00862,Customer 862,North
C00863,Customer 863,East
C00864,Customer 864,East
C00865,Customer 865,East
C00866,Customer 866,West
C00867,Customer 867,South
C00868,Customer 868,South
C00869,Customer 869,West
C00870,Customer 870,South
C00871,Customer 871,South
C00872,Customer 872,South
C00873,Customer 873,North
C00874,Customer 874,West
C00875,Customer 875,South
C00876,Customer 876,West
C00877,Customer 877,South
C00878,Customer 878,South
C00879,Customer 879,West
C00880,Customer 880,East
C00881,Customer 881,West
C00882,Customer 882,East
C00883,Customer 883,North
C00884,Customer 884,West
C00885,Customer 885,East
C00886,Customer 886,South
C00887,Customer 887,North
C00888,Customer 888,West
C00889,Customer 889,East
C00890,Customer 890,East
C00891,Customer 891,West
C00892,Customer 892,East
C00893,Customer 893,West
C00894,Customer 894,East
C00895,Customer 895,South
C00896,Customer 896,West
C00897,Customer 897,West
C00898,Customer 898,North
C00899,Customer 899,South
C00900,Customer 900,West
C00901,Customer 901,East
C00902,Customer 902,East
C00903,Customer 903,East
C00904,Customer 904,North
C00905,Customer 905,West
C00906,Customer 906,East
C00907,Customer 907,North
C00908,Customer 908,North
C00909,Customer 909,West
C00910,Customer 910,East
C00911,Customer 911,South
C00912,Customer 912,East
C00913,Customer 913,South
C00914,Customer 914,South
C00915,Customer 915,East
C00916,Customer 916,South
C00917,Customer 917,North
C00918,Customer 918,North
C00919,Customer 919,East
C00920,Customer 920,West
C00921,Customer 921,North
C00922,Customer 922,East
C00923,Customer 923,South
C00924,Customer 924,North
C00925,Customer 925,East
C00926,Customer 926,East
C00927,Customer 927,West
C00928,Customer 928,South
C00929,Customer 929,South
C00930,Customer 930,South
C00931,Customer 931,East
C00932,Customer 932,East
C00933,Customer 933,South
C00934,Customer 934,East
C00935,Customer 935,West
C00936,Customer 936,East
C00937,Customer 937,East
C00938,Customer 938,North
C00939,Customer 939,West
C00940,Customer 940,North
C00941,Customer 941,South
C00942,Customer 942,South
C00943,Customer 943,West
C00944,Customer 944,East
C00945,Customer 945,North
C00946,Customer 946,West
C00947,Customer 947,North
C00948,Customer 948,East
C00949,Customer 949,North
C00950,Customer 950,West
C00951,Customer 951,East
C00952,Customer 952,East
C00953,Customer 953,West
C00954,Customer 954,East
C00955,Customer 955,North
C00956,Customer 956,South
C00957,Customer 957,West
C00958,Customer 958,North
C00959,Customer 959,East
C00960,Customer 960,South
C00961,Customer 961,North
C00962,Customer 962,West
C00963,Customer 963,East
C00964,Customer 964,West
C00965,Customer 965,North
C00966,Customer 966,South
C00967,Customer 967,North
C00968,Customer 968,North
C00969,Customer 969,East
C00970,Customer 970,West
C00971,Customer 971,North
C00972,Customer 972,North
C00973,Customer 973,South
C00974,Customer 974,South
C00975,Customer 975,West
C00976,Customer 976,West
C00977,Customer 977,East
C00978,Customer 978,West
C00979,Customer 979,South
C00980,Customer 980,West
C00981,Customer 981,North
C00982,Customer 982,West
C00983,Customer 983,West
C00984,Customer 984,East
C00985,Customer 985,North
C00986,Customer 986,East
C00987,Customer 987,South
C00988,Customer 988,West
C00989,Customer 989,West
C00990,Customer 990,South
C00991,Customer 991,East
C00992,Customer 992,North
C00993,Customer 993,East
C00994,Customer 994,East
C00995,Customer 995,North
C00996,Customer 996,West
C00997,Customer 997,East
C00998,Customer 998,South
C00999,Customer 999,North
C01000,Customer 1000,West
