event_id,shipment_id,truck_id,customer_id,origin,destination,event_type,status,delay_minutes,distance_km,event_ts
E00035123,S0000388,T00132,C00133,Bengaluru,Bengaluru,delivered,at_hub,43,550.48,2026-01-01T03:10:00
E00012529,S0002033,T00064,C00269,Jaipur,Hyderabad,in_transit,delayed,23,1483.84,2026-01-01T03:12:00
E00039706,S0001521,T00454,C00268,Bengaluru,Hyderabad,in_transit,delayed,12,652.09,2026-01-01T03:13:00
E00002322,S0001658,T00297,C00302,Jaipur,Hyderabad,delayed,delayed,51,2193.64,2026-01-01T03:17:00
E00044684,S0004404,T00453,C00889,Hyderabad,Hyderabad,in_transit,at_hub,27,197.27,2026-01-01T03:18:00
E00040617,S0004462,T00486,C00821,Surat,Bengaluru,picked_up,at_hub,14,1654.05,2026-01-01T03:22:00
E00029058,S0002240,T00112,C00528,Ahmedabad,Jaipur,in_transit,on_time,30,1222.62,2026-01-01T03:27:00
E00006493,S0004981,T00480,C00602,Delhi,Surat,in_transit,at_hub,0,620.86,2026-01-01T03:29:00
E00042172,S0001106,T00320,C00941,Bengaluru,Bengaluru,delayed,delayed,27,1371.21,2026-01-01T03:30:00
E00018752,S0006960,T00161,C00690,Ahmedabad,Hyderabad,in_transit,delayed,31,932.19,2026-01-01T03:31:00
E00037443,S0006411,T00272,C00651,Delhi,Bengaluru,picked_up,on_time,34,624.69,2026-01-01T03:31:00
E00027328,S0001402,T00199,C00743,Delhi,Surat,at_hub,delayed,45,1229.54,2026-01-01T03:31:00
E00020242,S0007581,T00348,C00012,Surat,Ahmedabad,delayed,delayed,156,1710.03,2026-01-01T03:40:00
E00006496,S0000422,T00316,C00920,Pune,Hyderabad,delayed,delayed,100,1909.54,2026-01-01T03:43:00
E00030891,S0001810,T00574,C00006,Surat,Mumbai,in_transit,on_time,7,1590.67,2026-01-01T03:47:00
E00037455,S0000522,T00297,C00247,Delhi,Delhi,delivered,on_time,14,197.35,2026-01-01T03:47:00
E00029595,S0005034,T00505,C00510,Mumbai,Hyderabad,delayed,delayed,2,2016.89,2026-01-01T03:51:00
E00019254,S0001452,T00081,C00566,Jaipur,Hyderabad,in_transit,at_hub,27,1682.54,2026-01-01T03:51:00
E00032639,S0005615,T00383,C00935,Mumbai,Jaipur,in_transit,at_hub,15,2443.51,2026-01-01T03:52:00
E00012061,S0007034,T00443,C00365,Ahmedabad,Ahmedabad,at_hub,at_hub,41,1116.22,2026-01-01T03:58:00
E00041411,S0005868,T00298,C00985,Pune,Ahmedabad,in_transit,at_hub,1,2345.73,2026-01-01T03:59:00
E00014213,S0002765,T00526,C00381,Pune,Surat,in_transit,delayed,7,2097.29,2026-01-01T04:00:00
E00010660,S0000511,T00179,C00371,Pune,Surat,delivered,at_hub,12,1796.56,2026-01-01T04:01:00
E00046691,S0000081,T00378,C00974,Ahmedabad,Jaipur,at_hub,delayed,39,235.41,2026-01-01T04:02:00
E00011963,S0002741,T00067,C00167,Jaipur,Surat,picked_up,at_hub,40,477.49,2026-01-01T04:05:00
E00014713,S0002119,T00133,C00891,Mumbai,Bengaluru,delivered,delayed,31,1114.03,2026-01-01T04:07:00
E00028675,S0001346,T00426,C00665,Mumbai,Jaipur,in_transit,at_hub,42,1875.5,2026-01-01T04:09:00
E00036036,S0002138,T00468,C00627,Bengaluru,Pune,picked_up,at_hub,17,2054.05,2026-01-01T04:11:00
E00032846,S0000221,T00197,C00310,Bengaluru,Jaipur,at_hub,delayed,0,285.19,2026-01-01T04:13:00
E00001645,S0006844,T00446,C00573,Hyderabad,Pune,picked_up,at_hub,36,2121.9,2026-01-01T04:15:00
E00032674,S0007467,T00422,C00424,Delhi,Ahmedabad,in_transit,at_hub,38,1042.57,2026-01-01T04:18:00
E00020639,S0000135,T00516,C00477,Jaipur,Ahmedabad,delivered,on_time,19,709.08,2026-01-01T04:19:00
E00007296,S0002410,T00460,C00632,Jaipur,Hyderabad,picked_up,at_hub,39,1908.69,2026-01-01T04:21:00
E00022057,S0003925,T00520,C00429,Ahmedabad,Mumbai,at_hub,at_hub,23,570.99,2026-01-01T04:22:00
E00039753,S0002280,T00365,C00421,Jaipur,Surat,picked_up,at_hub,7,582.31,2026-01-01T04:22:00
E00043296,S0004203,T00259,C00577,Hyderabad,Surat,picked_up,on_time,37,1226.18,2026-01-01T04:22:00
E00047872,S0000375,T00354,C00205,Mumbai,Pune,at_hub,on_time,16,460.0,2026-01-01T04:22:00
E00020832,S0003624,T00396,C00001,Ahmedabad,Mumbai,at_hub,at_hub,33,405.0,2026-01-01T04:24:00
E00017690,S0006378,T00581,C00504,Delhi,Delhi,picked_up,delayed,16,25.78,2026-01-01T04:24:00
E00004705,S0002372,T00230,C00718,Delhi,Jaipur,picked_up,on_time,30,2407.72,2026-01-01T04:25:00
E00023915,S0000621,T00093,C00409,Ahmedabad,Bengaluru,delivered,on_time,15,820.63,2026-01-01T04:28:00
E00049165,S0007198,T00286,C00670,Surat,Jaipur,delivered,on_time,5,1927.33,2026-01-01T04:31:00
E00009984,S0004712,T00084,C00902,Jaipur,Ahmedabad,picked_up,on_time,31,829.21,2026-01-01T04:32:00
E00008580,S0001227,T00506,C00743,Delhi,Hyderabad,delayed,delayed,28,487.43,2026-01-01T04:33:00
E00004471,S0002590,T00123,C00268,Bengaluru,Mumbai,picked_up,at_hub,29,554.5,2026-01-01T04:35:00
E00048364,S0006305,T00578,C00269,Delhi,Mumbai,delivered,delayed,17,840.38,2026-01-01T04:37:00
E00046676,S0002783,T00055,C00657,Hyderabad,Delhi,in_transit,at_hub,3,716.91,2026-01-01T04:38:00
E00028341,S0005561,T00392,C00133,Ahmedabad,Jaipur,delivered,on_time,18,1480.45,2026-01-01T04:39:00
E00034358,S0005541,T00236,C00479,Jaipur,Mumbai,at_hub,at_hub,28,632.31,2026-01-01T04:43:00
E00007705,S0003434,T00116,C00713,Ahmedabad,Delhi,picked_up,delayed,18,1798.03,2026-01-01T04:49:00
E00021906,S0005045,T00260,C00494,Hyderabad,Ahmedabad,delayed,delayed,137,1433.84,2026-01-01T04:53:00
E00045266,S0007802,T00185,C00931,Jaipur,Bengaluru,delivered,at_hub,4,2343.77,2026-01-01T04:53:00
E00044230,S0002867,T00392,C00743,Bengaluru,Bengaluru,picked_up,delayed,8,495.53,2026-01-01T04:55:00
E00026467,S0005889,T00550,C00163,Mumbai,Bengaluru,at_hub,delayed,36,1227.59,2026-01-01T04:57:00
E00042395,S0000125,T00195,C00655,Delhi,Bengaluru,delayed,delayed,128,1647.85,2026-01-01T04:58:00
E00039072,S0002756,T00589,C00200,Pune,Ahmedabad,delayed,delayed,132,2075.71,2026-01-01T05:02:00
E00014957,S0002263,T00117,C00692,Ahmedabad,Mumbai,picked_up,on_time,3,678.18,2026-01-01T05:03:00
E00043230,S0007772,T00184,C00926,Mumbai,Jaipur,delayed,delayed,12,1653.67,2026-01-01T05:04:00
E00027075,S0005726,T00151,C00688,Delhi,Ahmedabad,delivered,at_hub,36,2095.15,2026-01-01T05:06:00
E00011211,S0004096,T00385,C00508,Jaipur,Jaipur,at_hub,at_hub,19,844.93,2026-01-01T05:06:00
E00047884,S0002573,T00545,C00108,Jaipur,Hyderabad,picked_up,on_time,19,547.65,2026-01-01T05:07:00
E00048363,S0001394,T00073,C00945,Hyderabad,Ahmedabad,delivered,delayed,31,1686.08,2026-01-01T05:08:00
E00004941,S0001717,T00243,C00113,Bengaluru,Surat,at_hub,at_hub,12,1054.21,2026-01-01T05:09:00
E00037077,S0004673,T00426,C00363,Mumbai,Pune,delivered,at_hub,40,2261.86,2026-01-01T05:10:00
E00023291,S0005385,T00400,C00322,Delhi,Jaipur,picked_up,delayed,27,620.59,2026-01-01T05:12:00
E00032112,S0007228,T00529,C00936,Ahmedabad,Surat,in_transit,on_time,40,1496.34,2026-01-01T05:12:00
E00049594,S0002543,T00056,C00540,Bengaluru,Ahmedabad,at_hub,at_hub,24,2455.28,2026-01-01T05:13:00
E00041894,S0003592,T00106,C00868,Pune,Pune,delivered,at_hub,20,2033.75,2026-01-01T05:15:00
E00011358,S0003413,T00529,C00553,Surat,Hyderabad,delivered,on_time,23,1307.01,2026-01-01T05:21:00
E00017100,S0007925,T00584,C00226,Surat,Delhi,picked_up,at_hub,3,2001.54,2026-01-01T05:23:00
E00028948,S0000798,T00499,C00630,Pune,Surat,delivered,at_hub,4,683.4,2026-01-01T05:24:00
E00000205,S0005201,T00367,C00871,Mumbai,Surat,picked_up,on_time,29,2420.48,2026-01-01T05:24:00
E00021113,S0003294,T00008,C00605,Mumbai,Ahmedabad,at_hub,at_hub,20,123.52,2026-01-01T05:27:00
E00007450,S0007745,T00148,C00002,Surat,Hyderabad,in_transit,on_time,18,173.85,2026-01-01T05:28:00
E00041034,S0006771,T00156,C00242,Surat,Surat,at_hub,on_time,12,904.23,2026-01-01T05:29:00
E00028628,S0001793,T00496,C00889,Surat,Hyderabad,in_transit,delayed,19,2404.58,2026-01-01T05:29:00
E00002517,S0002513,T00231,C00346,Jaipur,Ahmedabad,delivered,at_hub,14,166.61,2026-01-01T05:30:00
E00003328,S0004994,T00023,C00852,Hyderabad,Bengaluru,delivered,on_time,35,1667.43,2026-01-01T05:31:00
E00026653,S0000949,T00454,C00227,Jaipur,Jaipur,in_transit,at_hub,25,2018.3,2026-01-01T05:33:00
E00005840,S0002863,T00306,C00502,Surat,Mumbai,at_hub,delayed,39,1399.23,2026-01-01T05:38:00
E00042022,S0005104,T00209,C00493,Surat,Jaipur,delayed,delayed,175,1062.94,2026-01-01T05:39:00
E00024304,S0003500,T00189,C00247,Jaipur,Mumbai,delivered,delayed,0,570.21,2026-01-01T05:39:00
E00030192,S0004151,T00410,C00386,Jaipur,Surat,delayed,delayed,7,715.3,2026-01-01T05:41:00
E00042356,S0004539,T00457,C00707,Mumbai,Delhi,in_transit,at_hub,39,1341.62,2026-01-01T05:43:00
E00040338,S0001592,T00324,C00101,Jaipur,Pune,delayed,delayed,126,1436.59,2026-01-01T05:47:00
E00004643,S0002714,T00465,C00631,Surat,Ahmedabad,delayed,delayed,163,411.29,2026-01-01T05:48:00
E00030085,S0000782,T00047,C00543,Surat,Delhi,delivered,delayed,24,1394.66,2026-01-01T05:49:00
E00023289,S0007519,T00339,C00628,Delhi,Jaipur,at_hub,at_hub,25,251.92,2026-01-01T05:50:00
E00029668,S0004534,T00148,C00692,Ahmedabad,Mumbai,delayed,delayed,106,118.34,2026-01-01T05:57:00
E00044185,S0005148,T00432,C00407,Delhi,Hyderabad,delivered,on_time,0,1959.43,2026-01-01T05:58:00
E00004307,S0003953,T00206,C00399,Bengaluru,Mumbai,at_hub,at_hub,2,2095.82,2026-01-01T05:59:00
E00039082,S0000535,T00201,C00086,Jaipur,Surat,in_transit,at_hub,33,1932.83,2026-01-01T06:05:00
E00032190,S0003317,T00118,C00877,Pune,Ahmedabad,delayed,delayed,2,528.13,2026-01-01T06:05:00
E00045498,S0004918,T00164,C00351,Jaipur,Hyderabad,in_transit,at_hub,12,2337.88,2026-01-01T06:06:00
E00027641,S0002519,T00554,C00373,Bengaluru,Bengaluru,delayed,delayed,124,536.07,2026-01-01T06:06:00
E00041560,S0000982,T00145,C00808,Surat,Delhi,delayed,delayed,175,171.54,2026-01-01T06:07:00
E00038549,S0000164,T00253,C00119,Bengaluru,Bengaluru,in_transit,on_time,33,529.21,2026-01-01T06:10:00
E00023946,S0007895,T00411,C00493,Hyderabad,Jaipur,delivered,delayed,29,1705.55,2026-01-01T06:16:00
E00002198,S0005860,T00237,C00958,Hyderabad,Hyderabad,picked_up,delayed,22,892.87,2026-01-01T06:18:00
E00022493,S0006658,T00542,C00562,Mumbai,Surat,in_transit,at_hub,21,1564.2,2026-01-01T06:21:00
E00044374,S0007637,T00063,C00909,Jaipur,Delhi,in_transit,on_time,8,1452.54,2026-01-01T06:22:00
E00049133,S0001611,T00514,C00027,Jaipur,Pune,in_transit,at_hub,33,872.57,2026-01-01T06:22:00
E00047972,S0002331,T00462,C00292,Delhi,Jaipur,in_transit,delayed,2,1292.36,2026-01-01T06:31:00
E00004867,S0005482,T00453,C00493,Ahmedabad,Bengaluru,at_hub,on_time,40,737.69,2026-01-01T06:33:00
E00009171,S0001822,T00165,C00573,Mumbai,Bengaluru,picked_up,at_hub,31,1721.49,2026-01-01T06:33:00
E00026666,S0002528,T00449,C00489,Pune,Ahmedabad,delayed,delayed,65,510.02,2026-01-01T06:33:00
E00039252,S0007643,T00056,C00117,Jaipur,Surat,at_hub,on_time,7,2076.58,2026-01-01T06:35:00
E00022554,S0005685,T00454,C00379,Surat,Bengaluru,in_transit,at_hub,11,942.69,2026-01-01T06:35:00
E00041780,S0000176,T00324,C00829,Surat,Jaipur,delivered,on_time,28,811.46,2026-01-01T06:37:00
E00010524,S0004943,T00161,C00836,Pune,Bengaluru,delivered,at_hub,41,840.99,2026-01-01T06:39:00
E00026539,S0003050,T00131,C00905,Surat,Jaipur,delivered,at_hub,25,654.94,2026-01-01T06:40:00
E00014751,S0001025,T00392,C00619,Ahmedabad,Delhi,delayed,delayed,92,2474.13,2026-01-01T06:44:00
E00007588,S0006287,T00092,C00089,Delhi,Delhi,at_hub,on_time,40,1581.04,2026-01-01T06:46:00
E00040485,S0006346,T00318,C00645,Delhi,Ahmedabad,picked_up,at_hub,4,12.7,2026-01-01T06:48:00
E00021888,S0000838,T00456,C00971,Delhi,Pune,picked_up,at_hub,24,1403.97,2026-01-01T06:51:00
E00048941,S0000764,T00164,C00769,Ahmedabad,Ahmedabad,in_transit,delayed,6,639.36,2026-01-01T06:53:00
E00023439,S0002410,T00225,C00820,Mumbai,Bengaluru,delayed,delayed,5,823.86,2026-01-01T06:53:00
E00016286,S0003431,T00249,C00889,Mumbai,Hyderabad,delayed,delayed,53,1281.5,2026-01-01T06:54:00
E00001703,S0002528,T00446,C00594,Surat,Hyderabad,in_transit,on_time,42,584.29,2026-01-01T06:55:00
E00005446,S0000486,T00346,C00323,Hyderabad,Pune,at_hub,at_hub,25,1794.1,2026-01-01T06:57:00
E00010846,S0007062,T00110,C00500,Surat,Ahmedabad,delayed,delayed,116,2215.07,2026-01-01T06:58:00
E00040567,S0003135,T00580,C00311,Mumbai,Mumbai,delivered,on_time,45,795.51,2026-01-01T07:00:00
E00024343,S0002382,T00474,C00965,Bengaluru,Jaipur,delivered,on_time,35,1190.27,2026-01-01T07:01:00
E00034628,S0004451,T00178,C00217,Delhi,Hyderabad,delayed,delayed,161,1232.14,2026-01-01T07:03:00
E00013768,S0006731,T00440,C00260,Hyderabad,Jaipur,in_transit,delayed,26,1272.85,2026-01-01T07:05:00
E00026817,S0001896,T00158,C00768,Bengaluru,Mumbai,delayed,delayed,113,2095.86,2026-01-01T07:06:00
E00020727,S0000901,T00561,C00624,Ahmedabad,Hyderabad,delayed,delayed,39,1724.63,2026-01-01T07:10:00
E00020337,S0000916,T00018,C00105,Surat,Pune,at_hub,on_time,16,2213.94,2026-01-01T07:15:00
E00021042,S0003758,T00111,C00415,Bengaluru,Pune,delayed,delayed,2,708.27,2026-01-01T07:17:00
E00010241,S0002634,T00283,C00662,Jaipur,Pune,delayed,delayed,84,1836.64,2026-01-01T07:25:00
E00002232,S0007464,T00064,C00662,Delhi,Bengaluru,picked_up,on_time,17,2035.11,2026-01-01T07:26:00
E00038477,S0000253,T00314,C00333,Hyderabad,Jaipur,delayed,delayed,129,1062.57,2026-01-01T07:27:00
E00020211,S0003190,T00240,C00372,Surat,Mumbai,picked_up,at_hub,21,1039.47,2026-01-01T07:28:00
E00045303,S0001531,T00014,C00025,Bengaluru,Delhi,at_hub,on_time,41,1491.64,2026-01-01T07:28:00
E00020321,S0000432,T00218,C01000,Mumbai,Surat,at_hub,at_hub,34,1985.12,2026-01-01T07:36:00
E00005362,S0003983,T00083,C00912,Delhi,Pune,at_hub,delayed,35,1958.57,2026-01-01T07:38:00
E00007371,S0002022,T00494,C00497,Hyderabad,Pune,delivered,on_time,6,2351.27,2026-01-01T07:42:00
E00048225,S0002193,T00230,C00951,Jaipur,Ahmedabad,in_transit,delayed,39,936.23,2026-01-01T07:42:00
E00008237,S0000026,T00204,C00192,Ahmedabad,Surat,at_hub,on_time,29,1858.44,2026-01-01T07:46:00
E00013692,S0001621,T00525,C00760,Ahmedabad,Bengaluru,delayed,delayed,102,2350.46,2026-01-01T07:49:00
E00004630,S0002844,T00412,C00231,Delhi,Pune,picked_up,on_time,14,1265.19,2026-01-01T07:51:00
E00038283,S0001242,T00583,C00016,Ahmedabad,Pune,at_hub,delayed,26,1139.66,2026-01-01T07:52:00
E00041863,S0006854,T00163,C00840,Delhi,Jaipur,picked_up,delayed,13,2474.54,2026-01-01T07:56:00
E00019171,S0004543,T00276,C00824,Delhi,Hyderabad,delayed,delayed,136,926.02,2026-01-01T07:57:00
E00014002,S0007519,T00083,C00004,Delhi,Bengaluru,delayed,delayed,12,1360.09,2026-01-01T08:01:00
E00038343,S0000738,T00305,C00961,Delhi,Surat,picked_up,on_time,43,132.16,2026-01-01T08:06:00
E00038567,S0000129,T00151,C00061,Ahmedabad,Mumbai,delivered,at_hub,5,976.91,2026-01-01T08:11:00
E00049213,S0002006,T00291,C00349,Jaipur,Surat,in_transit,delayed,33,1440.2,2026-01-01T08:21:00
E00030367,S0007098,T00426,C00736,Ahmedabad,Surat,in_transit,delayed,15,786.74,2026-01-01T08:22:00
E00020980,S0001669,T00420,C00741,Ahmedabad,Surat,picked_up,at_hub,8,2226.21,2026-01-01T08:25:00
E00036318,S0004835,T00084,C00167,Bengaluru,Mumbai,delivered,on_time,31,2426.11,2026-01-01T08:29:00
E00025660,S0002123,T00331,C00393,Ahmedabad,Jaipur,delivered,at_hub,14,793.63,2026-01-01T08:29:00
E00012528,S0003019,T00463,C00959,Mumbai,Delhi,delayed,delayed,153,252.97,2026-01-01T08:34:00
E00036199,S0004346,T00083,C00175,Pune,Hyderabad,picked_up,on_time,13,354.01,2026-01-01T08:34:00
E00019596,S0006770,T00357,C00597,Hyderabad,Surat,delayed,delayed,155,136.02,2026-01-01T08:39:00
E00045591,S0000578,T00557,C00731,Hyderabad,Hyderabad,in_transit,at_hub,13,590.17,2026-01-01T08:43:00
E00043714,S0001896,T00080,C00437,Hyderabad,Bengaluru,delivered,at_hub,15,1253.81,2026-01-01T08:44:00
